VC-3,2;https://catalog.block-trafo.de/prodvardatasheet/393257-524434_EN;41;35;28.1;20;25;10;5;5;0.8
VC-5,0;https://catalog.block-trafo.de/prodvardatasheet/393257-524457_EN;44;37;33;25;25;15;5;5;0.8
VC-10;https://catalog.block-trafo.de/prodvardatasheet/393257-524483_EN;51;43;34.6;25;27.5;15;5;7;0.8
VC-16;https://catalog.block-trafo.de/prodvardatasheet/393257-524507_EN;57;48;39;30;30;20;5;7.5;0.8
