FLD-4;https://catalog.block-trafo.de/prodvardatasheet/393254-459054_EN;53;44;22.6;47.5;37.5;35;9;4.5;10;15;25;5;0.8;0;0;2.5
FLD-6;https://catalog.block-trafo.de/prodvardatasheet/393254-459061_EN;53;44;28.6;47.5;37.5;35;9;4.5;10;15;25;5;0.8;0;0;2.5
FLD-12;https://catalog.block-trafo.de/prodvardatasheet/393254-459069_EN;68;57;27.6;62.5;50;45;11.5;5.5;15;16;26;10;0.8;0;0;2.5
FLD-18;https://catalog.block-trafo.de/prodvardatasheet/393254-459077_EN;68;57;31.4;62.5;50;45;11.5;5.5;15;16;26;10;0.8;0;0;2.5
FLD-24;https://catalog.block-trafo.de/prodvardatasheet/393254-459084_EN;68;57;35.8;62.5;50;45;11.5;5.5;15;16;26;10;0.8;0;0;2.5
FLD-35;https://catalog.block-trafo.de/prodvardatasheet/393254-459091_EN;83.5;70;39;75;60;53.5;15;6.5;15;27;37;10;0;0.5;1;3
FLD-48;https://catalog.block-trafo.de/prodvardatasheet/393254-459098_EN;83.5;70;49;75;60;53;17;6.5;15;27;37;10;0;0.5;1;3
